image;AU01;AU02;AU04;AU05;AU06;AU07;AU09;AU10;AU12;AU14;AU15;AU17;AU20;AU23;AU25;AU26;AU45;SUM
malcolm_joy_387;1.6;3.42;0.0;0.0;3.08;3.6;0.0;0.61;4.05;2.28;0.0;0.0;0.0;0.25;3.06;0.25;0.99;23.190
malcolm_joy_39;1.73;3.36;0.0;1.87;2.45;3.68;0.0;0.76;3.47;1.55;0.01;0.0;0.99;0.0;3.23;0.0;0.62;23.720
malcolm_joy_435;1.52;3.45;0.0;1.69;1.37;3.46;0.0;0.44;2.18;0.2;0.0;0.0;0.0;0.0;0.32;0.01;0.7;15.340
malcolm_joy_441;0.87;0.0;0.0;1.64;2.8;4.06;0.0;1.83;3.05;2.65;0.0;0.0;0.0;0.23;2.63;1.76;0.0;21.520
malcolm_joy_54;1.62;3.05;0.0;2.42;2.05;3.08;0.0;0.48;3.44;0.96;0.0;0.0;0.81;0.0;1.33;0.0;0.64;19.880
malcolm_joy_622;1.91;3.44;0.0;2.91;2.0;2.79;0.0;0.31;3.05;1.26;0.03;0.0;0.94;0.0;1.8;0.0;0.7;21.140
malcolm_joy_628;1.94;3.42;0.0;2.59;1.89;3.2;0.0;0.1;3.09;1.3;0.18;0.0;1.07;0.0;2.42;0.0;0.75;21.950
malcolm_joy_634;1.62;3.2;0.0;2.37;2.03;2.66;0.0;0.31;3.38;1.44;0.0;0.0;0.76;0.0;2.96;0.0;0.85;21.580
malcolm_joy_640;1.42;3.13;0.0;2.36;1.73;2.79;0.0;0.33;3.09;1.33;0.12;0.0;0.66;0.0;2.1;0.0;0.14;19.200
malcolm_joy_641;1.34;2.73;0.0;2.41;1.83;2.7;0.0;0.79;3.24;1.13;0.37;0.0;0.55;0.11;2.19;0.0;0.61;20.000
malcolm_joy_646;1.25;2.04;0.0;2.6;1.25;2.56;0.0;0.96;2.31;0.52;1.06;0.0;0.0;0.0;2.5;0.19;0.2;17.440
malcolm_joy_647;1.54;3.46;0.0;2.57;2.87;3.82;0.0;1.34;3.6;2.74;0.0;0.0;1.19;0.0;3.37;0.0;0.96;27.460
malcolm_joy_648;1.5;3.22;0.0;2.32;2.82;3.59;0.0;1.45;3.58;2.01;0.17;0.0;1.11;0.0;3.23;0.0;1.11;26.110
malcolm_joy_69;1.55;3.52;0.0;1.9;2.86;3.83;0.0;1.03;3.94;2.2;0.0;0.0;1.11;0.0;4.13;0.0;0.63;26.700
malcolm_joy_84;1.48;3.46;0.0;2.56;2.86;3.83;0.0;1.32;3.6;2.73;0.0;0.0;1.15;0.0;3.38;0.0;0.97;27.340
malcolm_joy_9;1.66;3.12;0.0;0.36;2.94;3.94;0.0;1.14;3.8;1.42;0.0;0.0;1.14;0.0;3.67;0.0;0.84;24.030
ray_joy_21;2.11;1.82;0.0;0.52;1.44;0.0;0.0;0.74;3.16;1.25;0.16;0.0;0.96;0.0;2.8;0.0;2.62;17.580
ray_joy_36;2.5;2.29;0.0;1.62;1.41;0.23;0.0;0.63;3.24;0.83;0.0;0.0;1.09;0.0;2.54;0.28;0.48;17.140
ray_joy_443;3.1;3.05;0.0;3.21;0.74;0.0;0.0;0.12;2.48;0.0;0.0;0.0;1.46;0.0;3.12;1.02;0.0;18.300
ray_joy_450;2.07;1.92;0.0;1.76;0.58;0.0;0.0;0.0;2.23;1.02;0.0;0.81;1.09;0.19;0.0;0.0;0.0;11.670
ray_joy_454;1.87;1.86;0.0;1.93;0.59;0.0;0.0;0.0;2.37;0.31;0.0;0.43;0.86;0.0;0.0;0.0;0.0;10.220
ray_joy_460;2.06;2.02;0.0;2.27;0.66;0.0;0.0;0.0;2.72;0.46;0.0;0.14;0.82;0.0;0.23;0.0;0.0;11.380
ray_joy_462;2.08;2.06;0.0;2.59;0.84;0.0;0.0;0.0;2.86;0.29;0.0;0.02;0.92;0.0;0.59;0.0;0.0;12.250
ray_joy_51;2.07;1.91;0.0;1.4;0.76;0.0;0.0;0.0;2.6;0.21;0.0;0.3;0.89;0.0;0.1;0.0;0.0;10.240
ray_joy_525;1.81;1.78;0.0;0.65;1.26;0.0;0.0;0.83;2.9;1.3;0.32;0.21;1.31;0.0;2.25;0.0;2.01;16.630
ray_joy_531;1.92;1.88;0.0;0.95;1.17;0.0;0.0;0.55;2.64;1.07;0.0;0.1;1.49;0.0;2.32;0.37;0.95;15.410
ray_joy_537;2.03;2.3;0.0;1.73;0.82;0.0;0.0;0.26;2.5;0.71;0.0;0.0;1.7;0.0;2.23;0.48;0.0;14.760
ray_joy_543;1.93;1.95;0.0;0.59;1.11;0.0;0.0;0.26;2.98;1.31;0.29;0.18;1.04;0.0;2.1;0.0;2.69;16.430
ray_joy_6;2.4;2.13;0.0;1.29;1.78;1.0;0.0;0.92;3.06;0.66;0.0;0.0;1.13;0.0;3.66;1.02;1.36;20.410
ray_joy_632;2.27;1.98;0.0;0.45;1.25;0.0;0.0;0.68;3.1;1.26;0.25;0.04;0.98;0.0;2.51;0.2;2.73;17.700
ray_joy_633;2.16;1.89;0.0;0.56;1.4;0.0;0.0;0.87;3.07;1.23;0.3;0.0;0.89;0.0;2.49;0.03;2.81;17.700
ray_joy_634;2.15;1.9;0.0;0.49;1.32;0.0;0.0;0.8;3.12;1.1;0.26;0.0;1.08;0.0;2.69;0.07;2.67;17.650
ray_joy_635;2.26;1.93;0.0;0.58;1.21;0.0;0.0;0.81;3.06;1.01;0.18;0.0;1.08;0.0;2.57;0.17;2.42;17.280
ray_joy_636;1.91;1.75;0.0;0.41;1.23;0.0;0.0;0.61;2.85;0.74;0.04;0.0;0.99;0.0;2.48;0.42;2.3;15.730
ray_joy_66;2.46;2.47;0.0;2.55;1.8;0.55;0.0;0.75;3.0;0.45;0.0;0.0;1.33;0.0;3.65;1.28;0.25;20.540
ray_joy_81;2.66;2.38;0.0;1.49;1.83;0.45;0.0;1.04;3.1;0.67;0.0;0.0;1.36;0.0;3.69;0.9;0.77;20.340
